"query_text","popularity","updated_at"
"a","3825","2019-11-14"
"cafe instantaneo","1104","2019-11-14"
"nescafe","3430","2019-11-14"
"taza","2481","2019-11-14"
"alegria","1295","2019-11-14"
"7501058629135","138","2019-11-14"
"Dolce Gusto Mini Me","1863","2019-11-14"
"z","3594","2019-11-14"
"caja","789","2019-11-14"
"24","809","2019-11-14"
"30","1629","2019-11-14"
"splenda","1273","2019-11-14"
"mini me","2269","2019-11-14"
"Milano","604","2019-11-14"
"vainilla","151","2019-11-14"
"original","769","2019-11-14"
"7613035376083","69","2019-11-14"
"1","9456","2019-11-14"
"722776001738","91","2019-11-14"
"7501431235168","85","2019-11-14"
"17501059273259","137","2019-11-14"
"conf","1006","2019-11-14"
"CAFE EXPRESSO","2170","2019-11-14"
"3","3224","2019-11-14"
"Café vainilla","25541","2019-11-14"
"Deposito de cápsulas","29091","2019-11-14"
"Descargar la aplicacion por Bluetooth","1753","2019-11-14"
"Cafetera dolce gusto","333","2019-11-14"
"abuelita","26","2019-11-14"
"chocolate abuelita","7","2019-11-14"
"mini+me","9","2019-11-14"
"Descargar+la+aplicacion+por+Bluetooth","41","2019-11-14"
"pure de papa","5","2019-11-14"
"ABUALITA","1","2019-11-14"
"cafe","4433","2019-11-13"
"Espresso Intenso","1343","2019-11-13"
"Máquina Dolce Gusto Genio","21937","2019-11-13"
"clasico","155","2019-11-13"
"x","3074","2019-11-13"
"Dolce Gust","1018","2019-11-13"
"Nescafé Dolce Gusto","17152","2019-11-13"
"Mini Me Automática","25535","2019-11-13"
"NESCAFÉ Taster´s Choice","17390","2019-11-13"
"Espresso","561","2019-11-13"
"7501058628596","184","2019-11-13"
"americano","150","2019-11-13"
"carlos v","4361","2019-11-13"
"17501059285627","111","2019-11-13"
"CAFE AMERICANO","866","2019-11-13"
"7501059275577","56","2019-11-13"
"kit","998","2019-11-13"
"agua","18","2019-11-13"
"refacciones de las cafeteras dulce gusto","984","2019-11-13"
"Café+vainilla","8","2019-11-13"
"Cafetera+de+tres+tipo+de+cafe+en+una+sola+maquina","33","2019-11-13"
"Referencia de pago","1","2019-11-13"
"DOLCE gusto genio","3","2019-11-13"
"7501059273269","4","2019-11-12"
"Dolce Gusto","496","2019-11-12"
"lungo","283","2019-11-12"
"cappuccino","597","2019-11-12"
"nespresso","366","2019-11-12"
"macchiato","6","2019-11-12"
"18801055707802","62","2019-11-12"
"descafeinado","493","2019-11-12"
"capsulas","212","2019-11-12"
"7630030318849","151","2019-11-12"
"7501058629098","57","2019-11-12"
"7630039619398","121","2019-11-12"
"carnation","7","2019-11-12"
"taster","308","2019-11-12"
"STEVIA","50","2019-11-12"
"17501059238159","70","2019-11-12"
"7613036272049","25","2019-11-12"
"OFERTA MINI ME","1262","2019-11-12"
"7501059284623","134","2019-11-12"
"12200794","2","2019-11-12"
"NESQUIK","2","2019-11-12"
"Clavel","4","2019-11-12"
"8002270015991","64","2019-11-12"
